testname,event,treatment,start,load,style.load,idle,features_number
(index):308 LayerVSMatch,idle,T2-Ls2,2721.0999999940395,4131.600000023842,1334.9000000059605,4131.800000011921,10000
(index):308 LayerVSMatch,idle,T2-Pt,516.5999999940395,2218.9000000059605,427.7999999821186,2219.0999999940395,10000
(index):308 LayerVSMatch,idle,T2-Ls2,597.9000000059605,3765.0999999940395,1058.5999999940395,3765.399999976158,10000
(index):308 LayerVSMatch,idle,T2-Pt,666,3393.9000000059605,919.6999999880791,3625,10000
(index):308 LayerVSMatch,idle,T1-Ls,580.1999999880791,25201.80000001192,2457.800000011921,25203.09999999404,10000
(index):308 LayerVSMatch,idle,T2-Ls2,2993.199999988079,4567.200000017881,2232.800000011921,4567.300000011921,10000
(index):308 LayerVSMatch,idle,T1-Ls,533.5999999940395,26448.59999999404,1616.4000000059605,26450.80000001192,10000
(index):308 LayerVSMatch,idle,T2-Ls2,2054.800000011921,5393.699999988079,2548.5999999940395,5394.0999999940395,10000
LayerVSMatch,idle,T1-Ls,570.3999999761581,27804.90000000596,2053,27806.70000001788,10000
(index):308 LayerVSMatch,idle,T1-Pt,6177.5,19861.59999999404,3315.399999976158,19864.19999998808,10000
(index):308 LayerVSMatch,idle,T1-Pt,3204.800000011921,20007,2800.899999976158,20009.69999998808,10000
(index):308 LayerVSMatch,idle,T3-Ls,1545.0999999940395,9178.59999999404,2884.300000011921,9180,10000
(index):308 LayerVSMatch,idle,T2-Ls,2707.2999999821186,3511.800000011921,1518.5,3643.5999999940395,10000
(index):308 LayerVSMatch,idle,T3-Pt,444.40000000596046,6293.399999976158,1130,6294.5999999940395,10000
(index):308 LayerVSMatch,idle,T3-Pt,3099.5,7081.9000000059605,2285.9000000059605,7083.799999982119,10000
(index):308 LayerVSMatch,idle,T3-Ls,3715.7000000178814,9290.699999988079,1537.2999999821186,9291.899999976158,10000
(index):308 LayerVSMatch,idle,T1-Ls,1414.0999999940395,19481.90000000596,2568.4000000059605,19483.20000001788,10000
(index):308 LayerVSMatch,idle,T1-Ls,2731,19045.5,2785.5,19046.80000001192,10000
(index):308 LayerVSMatch,idle,T2-Pt,2427.2000000178814,2825.2999999821186,1379.0999999940395,2825.399999976158,10000
(index):308 LayerVSMatch,idle,T1-Ls,618,17340.29999998212,1437.699999988079,17342.29999998212,10000
(index):308 LayerVSMatch,idle,T2-Ls2,2519.2999999821186,4299.5999999940395,2061.300000011921,4299.700000017881,10000
(index):308 LayerVSMatch,idle,T1-Pt,593.5,16447.09999999404,1438,16449.399999976158,10000
(index):308 LayerVSMatch,idle,T1-Ls,2669.300000011921,18849.30000001192,2868.0999999940395,18852.40000000596,10000
(index):308 LayerVSMatch,idle,T2-Ls,2457.0999999940395,3078.600000023842,1343.4000000059605,3078.7000000178814,10000
(index):308 LayerVSMatch,idle,T1-Ls,610.6000000238419,17660.59999999404,1340.0999999940395,17662,10000
(index):308 LayerVSMatch,idle,T1-Pt,2502.699999988079,18568.90000000596,2945.4000000059605,18571,10000
(index):308 LayerVSMatch,idle,T2-Ls,2862.4000000059605,3055.4000000059605,1346.800000011921,3236,10000
(index):308 LayerVSMatch,idle,T3-Pt,602.7000000178814,5932.699999988079,1091.0999999940395,5934.199999988079,10000
(index):308 LayerVSMatch,idle,T3-Ls,3492.9000000059605,9395.200000017881,2425.300000011921,9396.800000011921,10000
(index):308 LayerVSMatch,idle,T2-Pt,2532.9000000059605,2683.5999999940395,1207,2904.9000000059605,10000
