testname,event,treatment,start,load,style.load,idle,features_number
LayerVSMatch,idle,T2-Ls4,598.8999999761581,1266.2000000476837,259.10000002384186,1266.300000011921,10000
(index):316 LayerVSMatch,idle,T2-Ls4,585.6999999880791,1547.300000011921,294.10000002384186,1567.6000000238419,10000
(index):316 LayerVSMatch,idle,T2-Ls,597.6999999880791,1304.800000011921,313.5,1578.3999999761581,10000
(index):316 LayerVSMatch,idle,T2-Ls4,582,1466.3999999761581,248.39999997615814,1522.7999999523163,10000
(index):316 LayerVSMatch,idle,T2-Ls,451.69999998807907,1384.5,267.80000001192093,1558.7000000476837,10000
(index):316 LayerVSMatch,idle,T2-Ls,613.3000000119209,1510.8999999761581,307.5,1595.0999999642372,10000
(index):316 LayerVSMatch,idle,T2-Ls,596.5,1380.4000000357628,322,1610.4000000357628,10000
(index):316 LayerVSMatch,idle,T2-Ls,593,1328.5,305,1564,10000
(index):316 LayerVSMatch,idle,T2-Ls4,600.2999999523163,1382.2000000476837,347.10000002384186,1637.6000000238419,10000
(index):316 LayerVSMatch,idle,T2-Ls4,606.2000000476837,1350.699999988079,283,1592.699999988079,10000
(index):316 LayerVSMatch,idle,T2-Ls4,591.3000000119209,1480.3999999761581,264.69999998807907,1720.3999999761581,10000
(index):316 LayerVSMatch,idle,T2-Ls,596.8000000119209,1437.199999988079,318.69999998807907,1664.800000011921,10000
(index):316 LayerVSMatch,idle,T2-Ls4,599.9000000357628,1297,316.5999999642372,1573.300000011921,10000
(index):316 LayerVSMatch,idle,T2-Ls4,603.3999999761581,1464.7000000476837,302.10000002384186,1647.800000011921,10000
(index):316 LayerVSMatch,idle,T2-Ls,586.3999999761581,1721.800000011921,313.60000002384186,1955,10000
(index):316 LayerVSMatch,idle,T2-Ls,601.6999999880791,1493.5,352.2000000476837,1627,10000
(index):316 LayerVSMatch,idle,T2-Ls,602.6999999880791,1343.3999999761581,310.5999999642372,1613,10000
(index):316 LayerVSMatch,idle,T2-Ls,593,1594.0999999642372,302.19999998807907,1594.0999999642372,10000
(index):316 LayerVSMatch,idle,T2-Ls,607.6000000238419,1312,266,1577.0999999642372,10000
(index):316 LayerVSMatch,idle,T2-Ls,610.9000000357628,1339.800000011921,308.89999997615814,1558.8999999761581,10000
(index):316 LayerVSMatch,idle,T2-Ls,599.3000000119209,1376.5999999642372,294.30000001192093,1560.199999988079,10000
(index):316 LayerVSMatch,idle,T2-Ls,598.3999999761581,1574.199999988079,259,1574.300000011921,10000
(index):316 LayerVSMatch,idle,T2-Ls4,591,1386.699999988079,286.5999999642372,1561.300000011921,10000
(index):316 LayerVSMatch,idle,T2-Ls4,603.1999999880791,1371.8999999761581,303.89999997615814,1579.6000000238419,10000
(index):316 LayerVSMatch,idle,T2-Ls4,570.8000000119209,1423.199999988079,200.30000001192093,1467.4000000357628,10000
(index):316 LayerVSMatch,idle,T2-Ls,588.5,1432.199999988079,288.5,1565.6000000238419,10000
(index):316 LayerVSMatch,idle,T2-Ls4,604.6999999880791,1277,246.89999997615814,1518.5,10000
(index):316 LayerVSMatch,idle,T2-Ls,597.3000000119209,1426.0999999642372,306.30000001192093,1687.300000011921,10000
(index):316 LayerVSMatch,idle,T2-Ls4,606.3000000119209,1435.5,296.80000001192093,1579.300000011921,10000
(index):316 LayerVSMatch,idle,T2-Ls4,588.1999999880791,1327.5,207,1474,10000
(index):316 LayerVSMatch,idle,T2-Ls,599.8000000119209,1574.2999999523163,302.5,1580,10000
(index):316 LayerVSMatch,idle,T2-Ls4,597.3999999761581,1312.300000011921,237.4000000357628,1502.6000000238419,10000
(index):316 LayerVSMatch,idle,T2-Ls4,596.1999999880791,1358.5,305.30000001192093,1626.5,10000
(index):316 LayerVSMatch,idle,T2-Ls4,596.8000000119209,1700.699999988079,247.19999998807907,1850.199999988079,10000
(index):316 LayerVSMatch,idle,T2-Ls,588.8000000119209,1468.800000011921,222,1500.8999999761581,10000
(index):316 LayerVSMatch,idle,T2-Ls4,598.5,1513.5,298.0999999642372,1563.5,10000
(index):316 LayerVSMatch,idle,T2-Ls,589.6000000238419,1313.199999988079,216.69999998807907,1543.1000000238419,10000
(index):316 LayerVSMatch,idle,T2-Ls,585.7000000476837,1653.5999999642372,204,1802,10000
(index):316 LayerVSMatch,idle,T2-Ls4,578.5999999642372,1586.4000000357628,185.5,1761.300000011921,10000
(index):316 LayerVSMatch,idle,T2-Ls,594.8999999761581,1433.1000000238419,319.4000000357628,1679.800000011921,10000
(index):316 LayerVSMatch,idle,T2-Ls4,602.2999999523163,1362.300000011921,269.2000000476837,1539.800000011921,10000
(index):316 LayerVSMatch,idle,T2-Ls4,583.6999999880791,1755,226.80000001192093,1822.4000000357628,10000
(index):316 LayerVSMatch,idle,T2-Ls,597.8000000119209,1489.199999988079,304.30000001192093,1553.1000000238419,10000
(index):316 LayerVSMatch,idle,T2-Ls4,585.3999999761581,1544.6000000238419,182.30000001192093,1754,10000
(index):316 LayerVSMatch,idle,T2-Ls,582.6999999880791,1402.6000000238419,211.60000002384186,1486.300000011921,10000
(index):316 LayerVSMatch,idle,T2-Ls4,606.6999999880791,1323.199999988079,265.10000002384186,1546.1000000238419,10000
(index):316 LayerVSMatch,idle,T2-Ls4,571.8999999761581,1419.300000011921,229,1487.2000000476837,10000
(index):316 LayerVSMatch,idle,T2-Ls4,600.3000000119209,1891.0999999642372,396.39999997615814,1891.300000011921,10000
(index):316 LayerVSMatch,idle,T2-Ls,590.0999999642372,2159.300000011921,370.5,2159.400000035763,10000
(index):316 LayerVSMatch,idle,T2-Ls4,596,1903.300000011921,320.5,1995.699999988079,10000
